Bases Occupied by Squadron and Date								
				Date of Arrival on Base				
Country	Service	Squadron	Base	Day	Month	Year	Service Calculation	Notes
Britain	RAF	216	Ochey	9	5	1918	RAF	
Britain	RAF	216	Autreville	26	8	1918	RAF	
Britain	RAF	216	Roville-aux-Chenes	28	9	1918	RAF	
Britain	RNAS	17(N)	Bierne	23	1	1918	RNAS	Formed from RN Seaplane Base
Britain	RNAS	17(N)	Bergues	1	2	1918	RNAS	
Britain	RAF	217	Bergues	1	4	1918	RAF	"17N renamed 217 Sqn., RAF"
Britain	RAF	217	Crochte	10	7	1918	RAF	
Britain	RAF	218	Dover	24	4	1918	RAF	
Britain	RAF	218	Petite Synthe	23	5	1918	RAF	
Britain	RAF	218	Frethun	7	7	1918	RAF	
Britain	RAF	218	Reumont	25	10	1918	RAF	
Britain	RAF	233	Walmer		8	1918	RAF	
Australia	AFC	2	Harlaxton	30	1	1917	RNAS	Moved from Middle East for service in France
Australia	AFC	2	Baixieux	7	1	1918	RNAS	
Australia	AFC	2	Auchel	22	1	1918		
Australia	AFC	2	Savy	2	4	1918		
Australia	AFC	2	Bertangles	4	4	1918		
Australia	AFC	2	Bellevue	3	6	1918		
Australia	AFC	2	Foquorolles	21	6	1918		
Australia	AFC	2	Liettres	1	7	1918		
Australia	AFC	2	Reclinghem	1	10	1918		
Australia	AFC	2	Serny	20	10	1918		
Australia	AFC	2	Auchel	26	10	1918		
Australia	AFC	2	Pont-a-Marcq	10	1	1919		
Australia	AFC	3	South Carlton	28	12	1916		In training after transported from Australia
Australia	AFC	3	Savy	9	9	1917		
Australia	AFC	3	Bailleul	12	11	1917		
Australia	AFC	3	Abeele	22	3	1918		
Australia	AFC	3	Bertangles	8	4	1918		
Australia	AFC	3	Flesselles	4	5	1918		
Australia	AFC	3	Proyart	6	9	1918		
Australia	AFC	3	Bouvincourt	21	9	1918		
Australia	AFC	3	Bernes	6	10	1918		
Australia	AFC	3	Premont	17	10	1918		
Australia	AFC	3	Tarciennes	29	11	1918		Last station before demobilization.
Australia	AFC	4	Castle Bromwich	27	3	1917		Training
Australia	AFC	4	Bruay	22	12	1917		
Australia	AFC	4	Clairmarais North	28	4	1918		
Australia	AFC	4	Reclinghem	30	6	1918		
Australia	AFC	4	Serny	29	9	1918		
Australia	AFC	4	Auchel	20	10	1918		
Australia	AFC	4	Grand Ennetieres	26	10	1918		
Australia	AFC	4	Bisseghem	17	11	1918		
